video_id,frame_count,clear_frames,imminent_frames,onset_frames,smoke_frames
video01,43326,40930,1184,48,1164
video02,70976,68892,1025,41,1018
video03,145701,144537,475,19,670
video04,38051,36625,575,23,828
video05,58601,57558,375,15,653
video06,53826,52511,470,19,826
video07,113926,112221,675,27,1003
video08,37976,37084,300,12,580
video09,67551,66315,634,26,576
video10,43726,42131,724,29,842
video11,80501,79190,550,22,739
video12,27251,26264,450,18,519
video13,24526,23534,475,19,498
video14,42701,41270,500,20,911
video15,51451,49891,750,30,780
video16,73926,71903,916,37,1070
video17,32601,31518,525,21,537
video18,48551,46609,800,32,1110
video19,60601,59570,475,19,537
video20,36226,35114,463,19,630
video21,31451,30498,299,12,642
video22,38301,37032,475,19,775
video23,40876,39429,639,26,782
video24,49376,48279,550,22,525
video25,53226,51505,600,24,1097
video26,44326,43285,475,19,547
video27,52101,50953,525,21,602
video28,29976,29002,325,13,636
video29,58751,57729,350,14,658
video30,73126,72221,325,13,567
video31,98626,97782,272,11,561
video32,52901,51788,389,16,708
video33,32676,31842,322,13,499
video34,33076,32247,300,12,517
video35,52651,51836,267,11,537
video36,59676,58782,275,11,608
video37,30801,29814,350,14,623
video38,77001,76092,350,14,545
video39,41176,40407,250,10,509
video40,55551,54735,300,12,504
video41,77576,76693,325,13,545
video42,92801,91859,431,18,493
video43,59051,57921,450,18,662
video44,78176,77162,496,21,497
video45,84676,83588,496,20,572
video46,41326,40438,300,12,576
video47,56476,55606,325,13,532
video48,45851,44973,224,9,645
video49,41776,40840,425,17,494
video50,27351,26480,350,14,507
video51,73601,72572,441,18,570
video52,49151,47840,350,14,947
video53,82076,81220,350,14,492
video54,77501,76668,325,13,495
video55,25926,24982,419,17,508
video56,45851,45022,325,13,491
video57,65801,65019,200,8,574
video58,149826,148982,325,13,506
video59,26151,25491,150,6,504
video60,63301,62501,275,11,514
video61,110226,109235,425,17,549
video62,50801,49891,400,16,494
video63,85826,85044,272,11,499
video64,59951,59286,150,6,509
video65,46826,45965,325,13,523
video66,45601,44687,338,14,562
video67,58826,57968,325,13,520
video68,49301,48510,275,11,505
video69,114376,113423,425,17,511
video70,29851,28941,400,16,494
video71,62876,62033,325,13,505
video72,77651,76583,550,22,496
video73,33901,33040,325,13,523
video74,40851,39633,552,23,643
video75,48076,47361,400,16,299
video76,66226,65374,325,13,514
video77,62551,61431,500,20,600
video78,18476,17501,325,13,637
video79,85351,84324,475,19,533
video80,43101,42742,150,6,203
